Settlement Name,Settlement Code,All Ages,Under 16,16 to 64,65 & Over
Steornabhagh (Stornoway),S20001475,7440,1200,4530,1710
Stewarton,S20001476,7420,1387,4621,1412
Stirling,S20001477,49830,7453,33838,8539
Stonehaven,S20001478,11170,1863,7027,2280
Stonehouse,S20001479,5500,1023,3421,1056
Stoneyburn,S20001480,3320,694,2036,590
Stow,S20001481,700,131,431,138
Stranraer,S20001482,10320,1825,6067,2428
Strathaven,S20001483,7350,1331,4442,1577
Strathblane,S20001484,1990,329,1107,554
Strathkinness,S20001485,800,130,488,182
Strathmiglo,S20001486,910,138,566,206
Strathpeffer,S20001487,1090,178,670,242
Strichen,S20001488,1020,166,631,223
Stromness,S20001489,1810,246,1121,443
Stuartfield,S20001490,830,157,508,165
Symington (South Ayrshire),S20001491,1170,200,721,249
Symington (South Lanarkshire),S20001492,750,133,444,173
Tain,S20001493,3590,712,2096,782
Tarbert,S20001494,1130,162,690,278
Tarbolton,S20001495,1900,373,1147,380
Tarland,S20001496,720,130,411,179
Tarves,S20001497,1070,203,674,193
Tayport,S20001498,3810,595,2429,786
Thankerton,S20001499,510,88,327,95
Thornhill (Dumfries and Galloway),S20001500,1660,248,858,554
Thornhill (Stirling),S20001501,530,78,335,117
Thorntonhall,S20001502,590,102,351,137
Thurso,S20001503,7610,1213,4709,1688
Tighnabruaich,S20001504,520,52,284,184
Tillicoultry,S20001505,5900,875,3668,1357
Tobermory,S20001506,1010,183,615,212
Torphichen,S20001507,710,146,426,138
Torphins,S20001508,1410,261,853,296
Torrance,S20001509,2290,376,1444,470
Townhill,S20001510,1180,179,686,315
Tranent,S20001511,12140,2521,7670,1949
Troon,S20001512,14710,2220,8596,3894
Tullibody,S20001513,9370,1860,6158,1352
Turriff,S20001514,4960,816,2967,1177
Twechar,S20001515,1220,245,768,207
Ullapool,S20001516,1520,257,959,304
Uplawmoor,S20001517,610,88,372,150
Vale of Leven,S20001518,24300,4335,15684,4281
Walkerburn,S20001519,720,107,454,159
Waterfoot,S20001520,1330,267,810,253
Wattston and Greengairs,S20001521,1080,225,691,164
Wellbank,S20001522,620,112,381,127
Wemyss Bay,S20001523,4490,644,2786,1060
West Barns,S20001524,640,136,409,95
West Kilbride,S20001525,4700,786,2645,1269
West Linton,S20001526,1700,370,995,335
Westhill (Aberdeenshire),S20001527,12290,2475,8041,1774
Whitburn,S20001528,12160,2218,7617,2325
Whitecraig,S20001529,1450,242,1019,189
Whitecross,S20001530,770,175,472,123
Whitehills,S20001531,1050,186,602,262
Whithorn,S20001532,780,124,459,197
Whiting Bay,S20001533,620,83,301,236
Wick,S20001534,7040,1300,4334,1406
Wigtown,S20001535,870,130,453,287
Winchburgh,S20001536,3040,577,1935,528
Yetholm,S20001537,600,75,312,213
,,,,,
© Crown Copyright 2018,,,,,
